"Submit", "Изпрати"
"Daniel Georgiev", "Даниел Георгиев"
"Daniel Georgiev Submissions", "Даниел Георгиев заявки"
"Add New Submissions", "Добави нова заявка"
"Save Submission", "Запази заявка"
"Delete Submission", "Изтрий заявка"
"Save and Continue Edit", "Запази и продължи редакцията"
"Reset", "Изчисти промените"
"Back", "Назад"
"Edit Submission '%s'", "Редакция на заявка '%s'"
"New Submission", "Нова заявка"
"General Information", "Основна информация"
"Page", "Страница"
"Go to", "Отиди на"
"Previous page", "Предишна страница"
"Next page", "Следваща страница"
"of %s pages","от %s страници"
"View", "Виж"
"per page", "на страница"
"Total %d records found", "Общо %d записи намерени"
"Reset Filter", "Изчисти филтъра"
"Search", "Търси"
"ID", "ID"
"Name", "Име"
"Age", "Години"
"Telephone", "Телефон"
"Email", "Имейл"
"New submission", "Нова заявка"
"This submission no longer exists.", "Заявката не съществува."
"The submission has been saved.", "Заявката беше запазена."
"The submission has been deleted.", "Заявката беше изтрита."
"Unable to find a submission to delete.", "Заявката не може да бъде изтрита"
