Reviews Sidebar,Reviews Sidebar
Show Random,Show Random
Reviews in block,Reviews in block
Words Count,Words Count
Display Rating,Display Rating
Minimal Rating,Minimal Rating Allowed
Use Category,Use Category
Hide already viewed,Hide already viewed
Display Only Summary Rating,Display Only Summary Rating
For example 4.8 or 3.5. Set 0 to show all reviews,For example 4.8 or 3.5. Set to zero to display all reviews.
Show reviews from the current category only,"If set to ""Yes"", the system shows reviews from the current category only."
Show only unique reviews per user session. Recommended if you have a lot of reviews.,"If set to ""Yes"", the system shows only unique reviews during a user session. Recommended if you have a lot of reviews."
Recent Reviews,Recent Reviews
Review by %s,Review by %s

