"--- Select object ---","--- Select object ---"
"--- Select reason code ---","--- Select reason code ---"
"--- Select state to simulate ---","--- Select state to simulate ---"
"-OR-","-OR-"
"""Amazon Pay"" button color","""Amazon Pay"" button color"
"""Amazon Pay"" button size","""Amazon Pay"" button size"
"""Amazon Pay"" button type","""Amazon Pay"" button type"
"""Login with Amazon"" button color","""Login with Amazon"" button color"
"""Login with Amazon"" button size","""Login with Amazon"" button size"
"""Login with Amazon"" button type","""Login with Amazon"" button type"
"%s API Call | %s","%s API Call | %s"
"* Required Fields","* Required Fields"
"... or enter your Amazon Payments account information manually","... or enter your Amazon Payments account information manually"
"<div id=""creative-system-config"">creativestyle Extensions</div>","<div id=""creative-system-config"">creativestyle Extensions</div>"
"<span class=""close"">Click to reveal config for </span>%s","<span class=""close"">Click to reveal config for </span>%s"
"<span class=""close"">Click to reveal your </span>Amazon Seller Central config","<span class=""close"">Click to reveal your </span>Amazon Seller Central config"
"<strong>Amazon Pay</strong> helps you shop quickly, safely and securely. You can pay on our website without re-entering your payment and address details.","<strong>Amazon Pay</strong> helps you shop quickly, safely and securely. You can pay on our website without re-entering your payment and address details."
"<strong>Amazon Pay</strong> helps you shop quickly, safely and securely. You can pay on our website without re-entering your payment and address details. All Amazon transactions are protected by Amazon&apos;s A-to-z Guarantee.","<strong>Amazon Pay</strong> helps you shop quickly, safely and securely. You can pay on our website without re-entering your payment and address details. All Amazon transactions are protected by Amazon&apos;s A-to-z Guarantee."
"1 day","1 day"
"1 hour","1 hour"
"10 minutes","10 minutes"
"12 hours","12 hours"
"14 days","14 days"
"15 days","15 days"
"15 minutes","15 minutes"
"2 days","2 days"
"2 hours","2 hours"
"3 days","3 days"
"30 days","30 days"
"30 minutes","30 minutes"
"4 hours","4 hours"
"5 minutes","5 minutes"
"7 days","7 days"
"8 hours","8 hours"
"A capture of %s has been processed by Amazon Payments (%s). The new status is %s.","A capture of %s has been processed by Amazon Payments (%s). The new status is %s."
"A refund of %s has been processed by Amazon Payments (%s). The new status is %s.","A refund of %s has been processed by Amazon Payments (%s). The new status is %s."
"Access Key ID","Access Key ID"
"Account information can be found <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/hz/me/integration/details"">here</a>","Account information can be found <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/hz/me/integration/details"">here</a>"
"Action","Action"
"Add New","Add New"
"Address widget height","Address widget height"
"Address widget width","Address widget width"
"Allowed IPs (comma separated)","Allowed IPs (comma separated)"
"Allowed JavaScript Origins","Allowed JavaScript Origins"
"Allowed Return URLs","Allowed Return URLs"
"Amazon Cronjobs","Amazon Cronjobs"
"Amazon logo","Amazon logo"
"Amazon Order Reference ID: %s","Amazon Order Reference ID: %s"
"Amazon Order Reference ID: <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/hz/me/pmd/payment-details?orderReferenceId=%s"">%s</a>","Amazon Order Reference ID: <a target=""_blank"" href=""https://sellercentral-europe.amazon.com/hz/me/pmd/payment-details?orderReferenceId=%s"">%s</a>"
"Amazon Pay","Amazon Pay"
"Amazon Pay (Sandbox)","Amazon Pay (Sandbox)"
"Amazon Pay and Login with Amazon","Amazon Pay and Login with Amazon"
"Amazon Pay and Login with Amazon settings","Amazon Pay and Login with Amazon settings"
"Amazon Pay API Call","Amazon Pay API Call"
"Amazon Pay API Calls","Amazon Pay API Calls"
"Amazon Pay Exception","Amazon Pay Exception"
"Amazon Pay Exception | %s","Amazon Pay Exception | %s"
"Amazon Pay Exceptions","Amazon Pay Exceptions"
"Amazon Payments Account","Amazon Payments Account"
"Amazon Seller Central","Amazon Seller Central"
"An authorization of %s has been processed by Amazon Payments (%s). The new status is %s.","An authorization of %s has been processed by Amazon Payments (%s). The new status is %s."
"An order of %s has been processed by Amazon Payments (%s). The new status is %s.","An order of %s has been processed by Amazon Payments (%s). The new status is %s."
"API Call details","API Call details"
"Appearance Settings","Appearance Settings"
"Appearance Settings for Amazon Pay and Login with Amazon","Appearance Settings for Amazon Pay and Login with Amazon"
"Appearance Settings for standalone Amazon Pay","Appearance Settings for standalone Amazon Pay"
"Asynchronous","Asynchronous"
"Authentication Experience","Authentication Experience"
"Authorization Processing Mode","Authorization Processing Mode"
"Authorize","Authorize"
"Authorize & capture","Authorize & capture"
"Auto","Auto"
"Back","Back"
"By selecting Login with Amazon, you will be asked to sign-in securely to your Amazon account without leaving the shop.","By selecting Login with Amazon, you will be asked to sign-in securely to your Amazon account without leaving the shop."
"Cancel","Cancel"
"Choose your payment region and click to quick-register.","Choose your payment region and click to quick-register."
"Client ID","Client ID"
"Code","Code"
"Common Appearance Settings","Common Appearance Settings"
"Congratulations! Your Amazon Payments account settings seem to be OK.","Congratulations! Your Amazon Payments account settings seem to be OK."
"Copy your keys from Seller Central (JSON) and paste them here","Copy your keys from Seller Central (JSON) and paste them here"
"creativestyle Extensions","creativestyle Extensions"
"Dark gray","Dark gray"
"Data polling frequency","Data polling frequency"
"Date","Date"
"Dear buyer, it looks like you already have an account in this shop. Please enter the password for your shop account here for once to make sure you are the authorized user of this account. We will not ask you for this anymore afterwards.","Dear buyer, it looks like you already have an account in this shop. Please enter the password for your shop account here for once to make sure you are the authorized user of this account. We will not ask you for this anymore afterwards."
"Debug data","Debug data"
"Declined Payment Email Sender","Declined Payment Email Sender"
"Declined Payment Email Template","Declined Payment Email Template"
"Developer Options","Developer Options"
"Display Language","Display Language"
"Don't have a merchant account yet? Register here","Don't have a merchant account yet? Register here"
"Download as CSV","Download as CSV"
"Each logfile will be rotated when it exceeds size of 8 Megabytes","Each logfile will be rotated when it exceeds size of 8 Megabytes"
"Email Options","Email Options"
"Enable Amazon Pay","Enable Amazon Pay"
"Enable Instant Payment Notifications","Enable Instant Payment Notifications"
"Enable logging","Enable logging"
"Enable Login with Amazon","Enable Login with Amazon"
"English","English"
"Enter a value between 200 and 600 pixels. For one-column widget please enter width less than 400.","Enter a value between 200 and 600 pixels. For one-column widget please enter width less than 400."
"Enter a value between 228 and 400 pixels","Enter a value between 228 and 400 pixels"
"ERP mode","ERP mode"
"Eurozone","Eurozone"
"Event Observers","Event Observers"
"Exception code","Exception code"
"Exception details","Exception details"
"Exception message","Exception message"
"Extension documentation","Extension documentation"
"Extracted XML message","Extracted XML message"
"French","French"
"General Info","General Info"
"General Settings","General Settings"
"German","German"
"Germany","Germany"
"Gold","Gold"
"http://www.creativestyle.net","http://www.creativestyle.net"
"http://www.creativestyle.net/services/magento.html","http://www.creativestyle.net/services/magento.html"
"In Sandbox Mode you can simulate certain states of selected payment objects.","In Sandbox Mode you can simulate certain states of selected payment objects."
"Installed Magento extensions","Installed Magento extensions"
"Installed PHP modules","Installed PHP modules"
"Invalid password","Invalid password"
"IPN %s | %s","IPN %s | %s"
"IPN endpoint URL","IPN endpoint URL"
"IPN Notification","IPN Notification"
"IPN Notifications","IPN Notifications"
"Italian","Italian"
"Large","Large"
"Leave empty for access from any location","Leave empty for access from any location"
"Light gray","Light gray"
"Login","Login"
"Login with Amazon","Login with Amazon"
"Magento Settings","Magento Settings"
"Manual authorization","Manual authorization"
"Marketplace","Marketplace"
"Medium","Medium"
"Merchant ID","Merchant ID"
"Message","Message"
"More about <em>creativestyle</em>","More about <em>creativestyle</em>"
"New order status","New order status"
"Next page","Next page"
"No, use data polling instead","No, use data polling instead"
"Notification type","Notification type"
"of %s pages","of %s pages"
"Orange (recommended)","Orange (recommended)"
"Order status on authorization","Order status on authorization"
"Page","Page"
"Pay","Pay"
"Payment Action","Payment Action"
"Payment Region","Payment Region"
"per page","per page"
"Please agree to all the terms and conditions before placing the order.","Please agree to all the terms and conditions before placing the order."
